	stripped grant id	db	count
0	AI151810	pubmed	70
1	AI151810	pmc	84
2	AI151810	nuccore	1
3	AI151812	pubmed	63
4	AI151812	pmc	51
5	AI151812	nuccore	1
6	AI151812	bioproject	3
7	AI151698	pubmed	115
8	AI151698	pmc	117
9	AI151698	nuccore	1
10	AI151799	pubmed	7
11	AI151799	pmc	4
12	AI151799	nuccore	1
13	AI151807	pubmed	38
14	AI151807	pmc	28
15	AI151807	nuccore	1
16	AI151801	pubmed	31
17	AI151801	pmc	17
18	AI151801	nuccore	1
19	AI151801	bioproject	2
20	AI151797	pubmed	22
21	AI151797	pmc	19
22	AI151797	nuccore	1
23	AI151814	pubmed	13
24	AI151814	pmc	6
25	AI151814	nuccore	1
26	AI151758	pubmed	17
27	AI151758	pmc	10
28	AI151758	nuccore	1
29	AI151788	pubmed	44
30	AI151788	pmc	38
31	AI151788	nuccore	1
